,Material,E_form,A1_rad,A2_rad,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,A1_dipole,A2_dipole,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,A1_nvalence,A2_nvalence,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,A1_nup,A2_nup,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,A1_num_d,A2_num_d,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,A1_volume,A2_volume,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,A1_ion_energy,A2_ion_energy,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,A1_electron_affinity,A2_electron_affinity,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,A1_electronegativity,A2_electronegativity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,A1_SOCC,A2_SOCC,Abar_SOCC,dA_SOCC
43,1T-Cr1Ir1S4,-3.06761584,122,122,103,122,0,19,19,0,83,54,19.4,68.5,29,49.1,49.1,29,6,9,6,7.5,3,1.5,1.5,3,2,5,2,3.5,3,1.5,1.5,3,2,25,0,13.5,23,13.5,13.5,23,7.23,8.54,15.5,7.885,1.31,7.615,7.615,1.31,6.76651,8.96702,10.36001,7.866765,2.20051,2.493245,2.493245,2.20051,0.666,1.5638,2.07710403,1.1149,0.8978,0.96220403,0.96220403,0.8978,0.666,1.5638,2.07710403,1.1149,0.8978,0.96220403,0.96220403,0.8978,298,2597,1447.5,-2299
44,1T-Cr1Ir1Se4,-2.77185397,122,122,116,122,0,6,6,0,83,54,28.9,68.5,29,39.6,39.6,29,6,9,6,7.5,3,1.5,1.5,3,2,5,2,3.5,3,1.5,1.5,3,2,25,10,13.5,23,3.5,11.5,7,7.23,8.54,16.5,7.885,1.31,8.615,8.615,1.31,6.76651,8.96702,9.752392,7.866765,2.20051,1.885627,1.885627,2.20051,0.666,1.5638,2.02067,1.1149,0.8978,0.90577,0.90577,0.8978,0.666,1.5638,2.02067,1.1149,0.8978,0.90577,0.90577,0.8978,298,2597,1447.5,-2299
45,1T-Cr1Ir1Te4,-1.58716719,122,122,136,122,0,14,14,0,83,54,38,68.5,29,30.5,30.5,29,6,9,6,7.5,3,1.5,1.5,3,2,5,2,3.5,3,1.5,1.5,3,2,25,20,13.5,23,6.5,11.5,13,7.23,8.54,20.5,7.885,1.31,12.615,12.615,1.31,6.76651,8.96702,9.00966,7.866765,2.20051,1.142895,1.142895,2.20051,0.666,1.5638,1.970876,1.1149,0.8978,0.855976,0.855976,0.8978,0.666,1.5638,1.970876,1.1149,0.8978,0.855976,0.855976,0.8978,298,2597,1447.5,-2299
46,1T-Cr1Lu1S4,-5.67064694,122,162,103,142,40,39,39,40,83,137,19.4,110,54,90.6,90.6,54,6,2,6,4,4,2,2,4,2,1,2,1.5,1,0.5,0.5,1,2,20,0,11,18,11,11,18,7.23,17.8,15.5,12.515,10.57,2.985,5.285,5.97,6.76651,5.425871,10.36001,6.0961905,1.340639,4.2638195,4.2638195,1.340639,0.666,0.34,2.07710403,0.503,0.326,1.57410403,1.57410403,0.326,0.666,0.34,2.07710403,0.503,0.326,1.57410403,1.57410403,0.326,298,601,449.5,-303
47,1T-Cr1Lu1Se4,-5.44605773,122,162,116,142,40,26,26,40,83,137,28.9,110,54,81.1,81.1,54,6,2,6,4,4,2,2,4,2,1,2,1.5,1,0.5,0.5,1,2,20,10,11,18,1,9,2,7.23,17.8,16.5,12.515,10.57,3.985,5.285,7.97,6.76651,5.425871,9.752392,6.0961905,1.340639,3.6562015,3.6562015,1.340639,0.666,0.34,2.02067,0.503,0.326,1.51767,1.51767,0.326,0.666,0.34,2.02067,0.503,0.326,1.51767,1.51767,0.326,298,601,449.5,-303
48,1T-Cr1Lu1Te4,-4.06099633,122,162,136,142,40,6,20,12,83,137,38,110,54,72,72,54,6,2,6,4,4,2,2,4,2,1,2,1.5,1,0.5,0.5,1,2,20,20,11,18,9,9,18,7.23,17.8,20.5,12.515,10.57,7.985,7.985,10.57,6.76651,5.425871,9.00966,6.0961905,1.340639,2.9134695,2.9134695,1.340639,0.666,0.34,1.970876,0.503,0.326,1.467876,1.467876,0.326,0.666,0.34,1.970876,0.503,0.326,1.467876,1.467876,0.326,298,601,449.5,-303
49,1T-Cr1Mo1S4,-3.49772082,122,138,103,130,16,27,27,16,83,87,19.4,85,4,65.6,65.6,4,6,6,6,6,0,0,0,0,2,2,2,2,0,0,0,0,2,12,0,7,10,7,7,10,7.23,9.4,15.5,8.315,2.17,7.185,7.185,2.17,6.76651,7.09243,10.36001,6.92947,0.32592,3.43054,3.43054,0.32592,0.666,0.748,2.07710403,0.707,0.082,1.37010403,1.37010403,0.082,0.666,0.748,2.07710403,0.707,0.082,1.37010403,1.37010403,0.082,298,901,599.5,-603
50,1T-Cr1Nb1S4,-4.82579703,122,147,103,134.5,25,31.5,31.5,25,83,98,19.4,90.5,15,71.1,71.1,15,6,5,6,5.5,1,0.5,0.5,1,2,1,2,1.5,1,0.5,0.5,1,2,11,0,6.5,9,6.5,6.5,9,7.23,10.8,15.5,9.015,3.57,6.485,6.485,3.57,6.76651,6.75885,10.36001,6.76268,0.00766,3.59733,3.59733,0.00766,0.666,0.917406,2.07710403,0.791703,0.251406,1.28540103,1.28540103,0.251406,0.666,0.917406,2.07710403,0.791703,0.251406,1.28540103,1.28540103,0.251406,298,688,493,-390
51,1T-Cr1Nb1Se4,-4.02572118,122,147,116,134.5,25,18.5,18.5,25,83,98,28.9,90.5,15,61.6,61.6,15,6,5,6,5.5,1,0.5,0.5,1,2,1,2,1.5,1,0.5,0.5,1,2,11,10,6.5,9,3.5,4.5,7,7.23,10.8,16.5,9.015,3.57,7.485,7.485,3.57,6.76651,6.75885,9.752392,6.76268,0.00766,2.989712,2.989712,0.00766,0.666,0.917406,2.02067,0.791703,0.251406,1.228967,1.228967,0.251406,0.666,0.917406,2.02067,0.791703,0.251406,1.228967,1.228967,0.251406,298,688,493,-390
52,1T-Cr1Nb1Te4,-2.12528813,122,147,136,134.5,25,1.5,12.5,3,83,98,38,90.5,15,52.5,52.5,15,6,5,6,5.5,1,0.5,0.5,1,2,1,2,1.5,1,0.5,0.5,1,2,11,20,6.5,9,13.5,13.5,9,7.23,10.8,20.5,9.015,3.57,11.485,11.485,3.57,6.76651,6.75885,9.00966,6.76268,0.00766,2.24698,2.24698,0.00766,0.666,0.917406,1.970876,0.791703,0.251406,1.179173,1.179173,0.251406,0.666,0.917406,1.970876,0.791703,0.251406,1.179173,1.179173,0.251406,298,688,493,-390
53,1T-Cr1Ni1S4,-1.44078068,122,110,103,116,12,13,13,12,83,49,19.4,66,34,46.6,46.6,34,6,10,6,8,4,2,2,4,2,4,2,3,2,1,1,2,2,6,0,4,4,4,4,4,7.23,6.6,15.5,6.915,0.63,8.585,8.585,0.63,6.76651,7.639877,10.36001,7.2031935,0.873367,3.1568165,3.1568165,0.873367,0.666,1.156,2.07710403,0.911,0.49,1.16610403,1.16610403,0.49,0.666,1.156,2.07710403,0.911,0.49,1.16610403,1.16610403,0.49,298,736,517,-438
54,1T-Cr1Ni1Se4,-1.49837236,122,110,116,116,12,1.42E-14,6,4.26E-14,83,49,28.9,66,34,37.1,37.1,34,6,10,6,8,4,2,2,4,2,4,2,3,2,1,1,2,2,6,10,4,4,6,6,4,7.23,6.6,16.5,6.915,0.63,9.585,9.585,0.63,6.76651,7.639877,9.752392,7.2031935,0.873367,2.5491985,2.5491985,0.873367,0.666,1.156,2.02067,0.911,0.49,1.10967,1.10967,0.49,0.666,1.156,2.02067,0.911,0.49,1.10967,1.10967,0.49,298,736,517,-438
55,1T-Cr1Ni1Te4,-0.80340209,122,110,136,116,12,20,20,12,83,49,38,66,34,28,28,34,6,10,6,8,4,2,2,4,2,4,2,3,2,1,1,2,2,6,20,4,4,16,16,4,7.23,6.6,20.5,6.915,0.63,13.585,13.585,0.63,6.76651,7.639877,9.00966,7.2031935,0.873367,1.8064665,1.8064665,0.873367,0.666,1.156,1.970876,0.911,0.49,1.059876,1.059876,0.49,0.666,1.156,1.970876,0.911,0.49,1.059876,1.059876,0.49,298,736,517,-438
57,1T-Cr1Pd1S4,-1.70703948,122,120,103,121,2,18,18,2,83,26.14,19.4,54.57,56.86,35.17,35.17,56.86,6,12,6,9,6,3,3,6,2,4,2,3,2,1,1,2,2,16,0,9,14,9,9,14,7.23,8.9,15.5,8.065,1.67,7.435,7.435,1.67,6.76651,8.33686,10.36001,7.551685,1.57035,2.808325,2.808325,1.57035,0.666,0.562,2.07710403,0.614,0.104,1.46310403,1.46310403,0.104,0.666,0.562,2.07710403,0.614,0.104,1.46310403,1.46310403,0.104,298,1548,923,-1250
58,1T-Cr1Pt1S4,-2.60184255,122,123,103,122.5,1,19.5,19.5,1,83,48,19.4,65.5,35,46.1,46.1,35,6,10,6,8,4,2,2,4,2,4,2,3,2,1,1,2,2,26,0,14,24,14,14,24,7.23,9.1,15.5,8.165,1.87,7.335,7.335,1.87,6.76651,8.95883,10.36001,7.86267,2.19232,2.49734,2.49734,2.19232,0.666,2.128,2.07710403,1.397,1.462,0.68010403,0.731,1.36020806,0.666,2.128,2.07710403,1.397,1.462,0.68010403,0.731,1.36020806,298,3711,2004.5,-3413
