Element,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,bulk_modulus,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,heat_of_formation,lattice_constant,mendeleev_number,melting_point,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_mm3,vdw_radius_uff,sound_velocity,Polarizability
H,1,79,154,14.1,1.008,20.28,56.79963953,6.51,31,32,111.4199326,113.1059062,25,0.0708,4.507107424,2.2,0.754195,13.61,0.2638,2.2,13.598443,0.06,7.853,-3.331290765,2.365120549,2.979865165,0,6.615,3535.562136,3431.551459,14.304,28.836,32.02,0.904,217.998,3.75,103,14.01,11.42,1,1,0,0,0,0,0,0,1,1,1,1.122727891,0.1805,110,120,162,288.6,1270,0.666793
He,2,147.8326428,134,31.8,4.002602,4.216,85.10662956,1.47,28,46,114.7083545,105.740602,122.887274,0.147,1.3837467,4.16,-19.7,24.59,0.442712,2.387649153,24.587387,6.001797775,18.098,0.0011354,2.908733088,3.664774046,0,12.305,3200,3900,5.13,20.786,19.08,0.08,120.1781406,3.57,1,0.95,21,0,2,0,0,0,0,0,0,0,2,1,5.188,0.1513,140,143,153,236.2,970,0.2050519
Li,3,155,220,13.1,6.94,1118.15,11,1410,128,133,124,110.5913614,145,0.534,164,0.98,0.618049,5.392,0.105093,0.98,5.391719,3,0,-1.86988691,3.213570838,4.048845545,0,16.59333333,2900,4200,3.582,24.86,21.63,148,159.3,3.49,12,553.69,13.02,1,1,0,0,0,0,0,0,1,1,2,3.489,85,182,212,255,245.1,6000,24.33
Be,4,112,219,5,9.0121831,3243,130,214,96,102,90,85,105,1.848,37.71,1.57,-2.4,9.323,0.144986,1.57,9.3227,7.895,0,-3.755038695,2.508239481,3.160183721,0,7.89,8000,4000,1.825,16.443,8.11,309,324,2.29,77,1551,4.85,0,2,0,0,0,0,0,0,0,2,2,1.824,190,153,198,223,274.5,13000,5.6
B,5,98,205,4.6,10.81,3931,320,99.2,84,85,78,73,85,2.34,20.53,2.04,0.279723,12.13,0.184886,2.04,8.29802,50.2,1.524,-6.677698154,2.429779429,3.061330249,0,7.1725,2900,2000,1.026,11.087,7.75,504.5,565,8.73,86,2573,4.39,5,3,0,0,0,0,5,1,0,2,2,1.025,27,192,191,215,408.3,16200,3.03
C,6,91,190,5.3,12.011,5100,33,47.9,73,75,67,60,70,2.25,20.53,2.55,1.262119,15.05,0.224776,2.55,11.2603,117.4,4.496,-9.209713655,2.242692341,2.825615289,0,5.64,500,500,0.709,8.517,5.67,659.2820752,716.87,3.57,95,3820,5.29,4,4,0,0,0,0,4,2,0,2,2,0.711,140,170,177,204,385.1,18350,1.67
N,7,92,179,17.3,14.007,77.4,57.36488288,25.7,71,71,60,54,65,0.808,7.6,3.04,-1.4,18.13,0.26493,3.04,14.5341,0.355,6.437,-8.21144121,3.091182017,3.894645292,0,14.76875,1300,500,1.04,29.124,22.68,20.05585557,472.44,4.039,100,63.29,13.54,3,5,0,0,0,0,3,3,0,2,2,0.772947713,0.02583,155,166,193,366,333.6,1.1
O,8,146.2014203,171,14,15.999,90.19,76.10604085,16.7,66,63,57,53,60,1.149,5.24,3.44,1.4611135,21.36,0.304575,3.44,13.61805,0.22,0,-4.756791905,2.630893787,3.314718462,0,9.105,500,500,0.918,29.378,17.36,15.57909119,249.229,6.83,101,54.8,17.36,2,6,0,0,0,0,2,4,0,2,2,1.079186637,0.02658,152,150,182,350,317.5,0.802
F,9,134.0236142,163,17.1,18.99840316,85.01,46.7989395,10.2,57,64,59,53,50,1.108,3.7,3.98,3.4011897,24.8,0.344443,3.98,17.4228,0.255,1.97,-1.698060958,2.687689729,3.386276865,0,9.7075,1500,1500,0.824,31.304,16.42,6.54,79.335,5.631000059,102,53.53,11.2,1,7,0,0,0,0,1,5,0,2,2,1.243845842,0.0277,147,146,171,336.4,2826.915883,0.557
Ne,10,148.6295412,156,16.8,20.1797,27.1,75.09587912,6.91,58,67,96,115.5322054,126.742479,1.204,2.67,4.79,1.563227422,28.31,0.38439,2.26542912,21.56454,0.164,13.088,0.09403567,2.934893568,3.697734186,0,12.64,3573.157067,3725.088987,1.03,20.786,23.09,1.74,124.6794701,4.43,2,48,13.23,0,8,0,0,0,0,0,6,0,2,2,1.029,0.0491,154,158,160,324.3,936,0.39432
Na,11,190,225,23.7,22.98976928,1156.1,6.3,1570,166,155,160,110.0710607,180,0.971,162.7,0.93,0.547926,5.14,0.093214,0.93,5.139076,2.6,0,-1.260241383,3.88167309,4.890601634,0,29.24333333,1100,500,1.228,28.23,39.76,97.9,107.5,4.23,11,370.96,23.78,1,1,0,0,0,0,0,0,1,1,3,1.222,140,227,250,270,298.3,3200,24.11
