,Material,sign_MA,log_MA,A1_rad,A2_rad,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,A1_dipole,A2_dipole,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,A1_nvalence,A2_nvalence,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,A1_nup,A2_nup,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,A1_num_d,A2_num_d,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,A1_volume,A2_volume,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,A1_ion_energy,A2_ion_energy,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,A1_electron_affinity,A2_electron_affinity,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,A1_electronegativity,A2_electronegativity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,A1_SOCC,A2_SOCC,Abar_SOCC,dA_SOCC
217,1T-Mn1Ti1S4,1,-10.11668077,119,136,103,127.5,17,24.5,24.5,17,68,100,19.4,84,32,64.6,64.6,32,7,4,6,5.5,3,0.5,1.5,1,3,0,2,1.5,3,0.5,1.5,1,3,0,0,1.5,3,1.5,1.5,3,7.39,10.6,15.5,8.995,3.21,6.505,6.505,3.21,7.434018,6.82812,10.36001,7.131069,0.605898,3.228941,3.228941,0.605898,0,0.079,2.07710403,0.0395,0.079,2.03760403,2.03760403,0.079,0,0.079,2.07710403,0.0395,0.079,2.03760403,2.03760403,0.079,394,136,265,258
218,1T-Mn1Ti1Se4,1,-8.400343925,119,136,116,127.5,17,11.5,11.5,17,68,100,28.9,84,32,55.1,55.1,32,7,4,6,5.5,3,0.5,1.5,1,3,0,2,1.5,3,0.5,1.5,1,3,0,10,1.5,3,8.5,8.5,3,7.39,10.6,16.5,8.995,3.21,7.505,7.505,3.21,7.434018,6.82812,9.752392,7.131069,0.605898,2.621323,2.621323,0.605898,0,0.079,2.02067,0.0395,0.079,1.98117,1.98117,0.079,0,0.079,2.02067,0.0395,0.079,1.98117,1.98117,0.079,394,136,265,258
219,1T-Mn1Ti1Te4,1,-10.44821473,119,136,136,127.5,17,8.5,8.5,17,68,100,38,84,32,46,46,32,7,4,6,5.5,3,0.5,1.5,1,3,0,2,1.5,3,0.5,1.5,1,3,0,20,1.5,3,18.5,18.5,3,7.39,10.6,20.5,8.995,3.21,11.505,11.505,3.21,7.434018,6.82812,9.00966,7.131069,0.605898,1.878591,1.878591,0.605898,0,0.079,1.970876,0.0395,0.079,1.931376,1.931376,0.079,0,0.079,1.970876,0.0395,0.079,1.931376,1.931376,0.079,394,136,265,258
220,1T-Mn1V1S4,1,-9.09835187,119,134,103,126.5,15,23.5,23.5,15,68,87,19.4,77.5,19,58.1,58.1,19,7,5,6,6,2,0,1,0,3,1,2,2,2,0,1,0,3,1,0,2,2,2,2,2,7.39,8.35,15.5,7.87,0.96,7.63,7.63,0.96,7.434018,6.746187,10.36001,7.0901025,0.687831,3.2699075,3.2699075,0.687831,0,0.525,2.07710403,0.2625,0.525,1.81460403,1.81460403,0.525,0,0.525,2.07710403,0.2625,0.525,1.81460403,1.81460403,0.525,394,218,306,176
221,1T-Mn1V1Se4,-1,-10.44339876,119,134,116,126.5,15,10.5,10.5,15,68,87,28.9,77.5,19,48.6,48.6,19,7,5,6,6,2,0,1,0,3,1,2,2,2,0,1,0,3,1,10,2,2,8,8,2,7.39,8.35,16.5,7.87,0.96,8.63,8.63,0.96,7.434018,6.746187,9.752392,7.0901025,0.687831,2.6622895,2.6622895,0.687831,0,0.525,2.02067,0.2625,0.525,1.75817,1.75817,0.525,0,0.525,2.02067,0.2625,0.525,1.75817,1.75817,0.525,394,218,306,176
222,1T-Mn1V1Te4,1,-7.784789241,119,134,136,126.5,15,9.5,9.5,15,68,87,38,77.5,19,39.5,39.5,19,7,5,6,6,2,0,1,0,3,1,2,2,2,0,1,0,3,1,20,2,2,18,18,2,7.39,8.35,20.5,7.87,0.96,12.63,12.63,0.96,7.434018,6.746187,9.00966,7.0901025,0.687831,1.9195575,1.9195575,0.687831,0,0.525,1.970876,0.2625,0.525,1.708376,1.708376,0.525,0,0.525,1.970876,0.2625,0.525,1.708376,1.708376,0.525,394,218,306,176
223,1T-Mn1W1S4,1,-9.198905994,119,137,103,128,18,25,25,18,68,68,19.4,68,0,48.6,48.6,0,7,6,6,6.5,1,0.5,0.5,1,3,2,2,2.5,1,0.5,0.5,1,3,22,0,12.5,19,12.5,12.5,19,7.39,9.53,15.5,8.46,2.14,7.04,7.04,2.14,7.434018,7.86403,10.36001,7.649024,0.430012,2.710986,2.710986,0.430012,0,0.81626,2.07710403,0.40813,0.81626,1.66897403,1.66897403,0.81626,0,0.81626,2.07710403,0.40813,0.81626,1.66897403,1.66897403,0.81626,394,3209,1801.5,-2815
224,1T-Mn1W1Se4,-1,-9.627220383,119,137,116,128,18,12,12,18,68,68,28.9,68,0,39.1,39.1,0,7,6,6,6.5,1,0.5,0.5,1,3,2,2,2.5,1,0.5,0.5,1,3,22,10,12.5,19,2.5,9.5,5,7.39,9.53,16.5,8.46,2.14,8.04,8.04,2.14,7.434018,7.86403,9.752392,7.649024,0.430012,2.103368,2.103368,0.430012,0,0.81626,2.02067,0.40813,0.81626,1.61254,1.61254,0.81626,0,0.81626,2.02067,0.40813,0.81626,1.61254,1.61254,0.81626,394,3209,1801.5,-2815
225,1T-Mn1W1Te4,-1,-7.232938477,119,137,136,128,18,8,9,16,68,68,38,68,0,30,30,0,7,6,6,6.5,1,0.5,0.5,1,3,2,2,2.5,1,0.5,0.5,1,3,22,20,12.5,19,7.5,9.5,15,7.39,9.53,20.5,8.46,2.14,12.04,12.04,2.14,7.434018,7.86403,9.00966,7.649024,0.430012,1.360636,1.360636,0.430012,0,0.81626,1.970876,0.40813,0.81626,1.562746,1.562746,0.81626,0,0.81626,1.970876,0.40813,0.81626,1.562746,1.562746,0.81626,394,3209,1801.5,-2815
226,1T-Mn1Y1S4,-1,-10.30501044,119,163,103,141,44,38,38,44,68,162,19.4,115,94,95.6,95.6,94,7,3,6,5,4,1,2,2,3,1,2,2,2,0,1,0,3,10,0,6.5,7,6.5,6.5,7,7.39,19.8,15.5,13.595,12.41,1.905,6.205,3.81,7.434018,6.21726,10.36001,6.825639,1.216758,3.534371,3.534371,1.216758,0,0.307,2.07710403,0.1535,0.307,1.92360403,1.92360403,0.307,0,0.307,2.07710403,0.1535,0.307,1.92360403,1.92360403,0.307,394,304,349,90
227,1T-Mn1Y1Se4,-1,-9.506525157,119,163,116,141,44,25,25,44,68,162,28.9,115,94,86.1,86.1,94,7,3,6,5,4,1,2,2,3,1,2,2,2,0,1,0,3,10,10,6.5,7,3.5,3.5,7,7.39,19.8,16.5,13.595,12.41,2.905,6.205,5.81,7.434018,6.21726,9.752392,6.825639,1.216758,2.926753,2.926753,1.216758,0,0.307,2.02067,0.1535,0.307,1.86717,1.86717,0.307,0,0.307,2.02067,0.1535,0.307,1.86717,1.86717,0.307,394,304,349,90
229,1T-Mn1Zn1S4,1,-10.90153079,119,118,103,118.5,1,15.5,15.5,1,68,38.67,19.4,53.335,29.33,33.935,33.935,29.33,7,12,6,9.5,5,3.5,3.5,5,3,2,2,2.5,1,0.5,0.5,1,3,8,0,5.5,5,5.5,5.5,5,7.39,9.2,15.5,8.295,1.81,7.205,7.205,1.81,7.434018,9.394199,10.36001,8.4141085,1.960181,1.9459015,1.9459015,1.960181,0,0,2.07710403,0,0,2.07710403,2.07710403,0,0,0,2.07710403,0,0,2.07710403,2.07710403,0,394,1146,770,-752
230,1T-Mn1Zn1Se4,1,-7.070238915,119,118,116,118.5,1,2.5,2.5,1,68,38.67,28.9,53.335,29.33,24.435,24.435,29.33,7,12,6,9.5,5,3.5,3.5,5,3,2,2,2.5,1,0.5,0.5,1,3,8,10,5.5,5,4.5,4.5,5,7.39,9.2,16.5,8.295,1.81,8.205,8.205,1.81,7.434018,9.394199,9.752392,8.4141085,1.960181,1.3382835,1.3382835,1.960181,0,0,2.02067,0,0,2.02067,2.02067,0,0,0,2.02067,0,0,2.02067,2.02067,0,394,1146,770,-752
232,1T-Mn1Zr1S4,1,-10.60890976,119,154,103,136.5,35,33.5,33.5,35,68,112,19.4,90,44,70.6,70.6,44,7,4,6,5.5,3,0.5,1.5,1,3,0,2,1.5,3,0.5,1.5,1,3,10,0,6.5,7,6.5,6.5,7,7.39,14.1,15.5,10.745,6.71,4.755,4.755,6.71,7.434018,6.6339,10.36001,7.033959,0.800118,3.326051,3.326051,0.800118,0,0.426,2.07710403,0.213,0.426,1.86410403,1.86410403,0.426,0,0.426,2.07710403,0.213,0.426,1.86410403,1.86410403,0.426,394,481,437.5,-87
233,1T-Mn1Zr1Se4,-1,-8.211143344,119,154,116,136.5,35,20.5,20.5,35,68,112,28.9,90,44,61.1,61.1,44,7,4,6,5.5,3,0.5,1.5,1,3,0,2,1.5,3,0.5,1.5,1,3,10,10,6.5,7,3.5,3.5,7,7.39,14.1,16.5,10.745,6.71,5.755,5.755,6.71,7.434018,6.6339,9.752392,7.033959,0.800118,2.718433,2.718433,0.800118,0,0.426,2.02067,0.213,0.426,1.80767,1.80767,0.426,0,0.426,2.02067,0.213,0.426,1.80767,1.80767,0.426,394,481,437.5,-87
234,1T-Mn1Zr1Te4,-1,-7.438197047,119,154,136,136.5,35,0.5,17.5,1,68,112,38,90,44,52,52,44,7,4,6,5.5,3,0.5,1.5,1,3,0,2,1.5,3,0.5,1.5,1,3,10,20,6.5,7,13.5,13.5,7,7.39,14.1,20.5,10.745,6.71,9.755,9.755,6.71,7.434018,6.6339,9.00966,7.033959,0.800118,1.975701,1.975701,0.800118,0,0.426,1.970876,0.213,0.426,1.757876,1.757876,0.426,0,0.426,1.970876,0.213,0.426,1.757876,1.757876,0.426,394,481,437.5,-87
235,1T-Mn2S4,1,-9.671741112,119,119,103,119,0,16,16,0,68,68,19.4,68,0,48.6,48.6,0,7,7,6,7,0,1,1,0,3,3,2,3,0,1,1,0,3,3,0,3,0,3,3,0,7.39,7.39,15.5,7.39,0,8.11,8.11,0,7.434018,7.434018,10.36001,7.434018,0,2.925992,2.925992,0,0,0,2.07710403,0,0,2.07710403,2.07710403,0,0,0,2.07710403,0,0,2.07710403,2.07710403,0,394,394,394,0
236,1T-Mn2Se4,-1,-7.642954377,119,119,116,119,0,3,3,0,68,68,28.9,68,0,39.1,39.1,0,7,7,6,7,0,1,1,0,3,3,2,3,0,1,1,0,3,3,10,3,0,7,7,0,7.39,7.39,16.5,7.39,0,9.11,9.11,0,7.434018,7.434018,9.752392,7.434018,0,2.318374,2.318374,0,0,0,2.02067,0,0,2.02067,2.02067,0,0,0,2.02067,0,0,2.02067,2.02067,0,394,394,394,0
237,1T-Mn2Te4,-1,-6.405705047,119,119,136,119,0,17,17,0,68,68,38,68,0,30,30,0,7,7,6,7,0,1,1,0,3,3,2,3,0,1,1,0,3,3,20,3,0,17,17,0,7.39,7.39,20.5,7.39,0,13.11,13.11,0,7.434018,7.434018,9.00966,7.434018,0,1.575642,1.575642,0,0,0,1.970876,0,0,1.970876,1.970876,0,0,0,1.970876,0,0,1.970876,1.970876,0,394,394,394,0
238,1T-Mo1Cr1Te4,1,-9.726848779,138,122,136,130,16,6,8,12,87,83,38,85,4,47,47,4,6,6,6,6,0,0,0,0,2,2,2,2,0,0,0,0,12,2,20,7,10,13,13,10,9.4,7.23,20.5,8.315,2.17,12.185,12.185,2.17,7.09243,6.76651,9.00966,6.92947,0.32592,2.08019,2.08019,0.32592,0.748,0.666,1.970876,0.707,0.082,1.263876,1.263876,0.082,0.748,0.666,1.970876,0.707,0.082,1.263876,1.263876,0.082,901,298,599.5,603
279,1T-V1Ag1Te4,-1,-10.60004053,134,128,136,131,6,5,5,6,87,55,38,71,32,33,33,32,5,11,6,8,6,2,3,4,1,3,2,2,2,0,1,0,1,17,20,9,16,11,11,16,8.35,10.3,20.5,9.325,1.95,11.175,11.175,1.95,6.746187,7.576234,9.00966,7.1612105,0.830047,1.8484495,1.8484495,0.830047,0.525,1.302,1.970876,0.9135,0.777,1.057376,1.057376,0.777,0.525,1.302,1.970876,0.9135,0.777,1.057376,1.057376,0.777,218,1915,1066.5,-1697
283,1T-V1Cd1S4,-1,-10.52934999,134,136,103,135,2,32,32,2,87,46,19.4,66.5,41,47.1,47.1,41,5,12,6,8.5,7,2.5,3.5,5,1,2,2,1.5,1,0.5,0.5,1,1,18,0,9.5,17,9.5,9.5,17,8.35,13.1,15.5,10.725,4.75,4.775,4.775,4.75,6.746187,8.993822,10.36001,7.8700045,2.247635,2.4900055,2.4900055,2.247635,0.525,0,2.07710403,0.2625,0.525,1.81460403,1.81460403,0.525,0.525,0,2.07710403,0.2625,0.525,1.81460403,1.81460403,0.525,218,2007,1112.5,-1789
285,1T-V1Cd1Te4,1,-8.312784038,134,136,136,135,2,1,1,2,87,46,38,66.5,41,28.5,28.5,41,5,12,6,8.5,7,2.5,3.5,5,1,2,2,1.5,1,0.5,0.5,1,1,18,20,9.5,17,10.5,10.5,17,8.35,13.1,20.5,10.725,4.75,9.775,9.775,4.75,6.746187,8.993822,9.00966,7.8700045,2.247635,1.1396555,1.1396555,2.247635,0.525,0,1.970876,0.2625,0.525,1.708376,1.708376,0.525,0.525,0,1.970876,0.2625,0.525,1.708376,1.708376,0.525,218,2007,1112.5,-1789
